LCalculator	main([Ljava/lang/String;)V
LAddSub	<init>()V
LAddSub	Subtraction(II)V
Ljava/lang/StringBuilder	toString()Ljava/lang/String;
Ljava/lang/StringBuilder	<init>()V
Ljava/lang/StringBuilder	append(Ljava/lang/String;)Ljava/lang/StringBuilder;
Ljava/lang/StringBuilder	append(I)Ljava/lang/StringBuilder;
Ljava/lang/StringBuilder	append(D)Ljava/lang/StringBuilder;
Ljava/util/Scanner	close()V
Ljava/util/Scanner	<init>(Ljava/io/InputStream;)V
Ljava/util/Scanner	nextInt()I
Ljava/lang/Object	toString()Ljava/lang/String;
Ljava/lang/Object	<init>()V
LsumofCube	<init>()V
LMult	<init>()V
LdiffSub	<init>()V
LdiffSub	Subtraction(II)V
Lhypo	<init>()V
Lhypo	hypot(II)I
Ljava/lang/AbstractStringBuilder	toString()Ljava/lang/String;
Ljava/lang/AbstractStringBuilder	<init>()V
Ljava/lang/StringBuilder	<init>(I)V
Ljava/lang/AbstractStringBuilder	<init>(I)V
Ljava/lang/StringBuilder	append(Ljava/lang/String;)Ljava/lang/AbstractStringBuilder;
Ljava/lang/AbstractStringBuilder	append(Ljava/lang/String;)Ljava/lang/AbstractStringBuilder;
Ljava/lang/StringBuilder	append(I)Ljava/lang/AbstractStringBuilder;
Ljava/lang/AbstractStringBuilder	append(I)Ljava/lang/AbstractStringBuilder;
Ljava/lang/StringBuilder	append(D)Ljava/lang/AbstractStringBuilder;
Ljava/lang/AbstractStringBuilder	append(D)Ljava/lang/AbstractStringBuilder;
Ljava/util/Scanner	<init>(Ljava/lang/Readable;Ljava/util/regex/Pattern;)V
Ljava/util/Scanner	nextInt(I)I
Ljava/lang/Object	hashCode()I
Ljava/lang/Object	getClass()Ljava/lang/Class;
LMult	multiplication(II)I
Ljava/lang/String	<init>([CII)V
Ljava/io/InputStreamReader	<init>(Ljava/io/InputStream;)V
Ljava/lang/String	hashCode()I
Ljava/lang/AbstractStringBuilder	ensureCapacityInternal(I)V
Ljava/lang/AbstractStringBuilder	appendNull()Ljava/lang/AbstractStringBuilder;
Ljava/util/Scanner	useLocale(Ljava/util/Locale;)Ljava/util/Scanner;
Ljava/util/Scanner	useTypeCache()V
Ljava/util/Scanner	next(Ljava/util/regex/Pattern;)Ljava/lang/String;
Ljava/util/Scanner	processIntegerToken(Ljava/lang/String;)Ljava/lang/String;
Ljava/util/Scanner	integerPattern()Ljava/util/regex/Pattern;
Ljava/util/Scanner	clearCaches()V
Ljava/util/Scanner	setRadix(I)V
Ljava/util/Arrays	<init>()V
Ljava/lang/Throwable	<init>()V
Ljava/lang/Error	<init>()V
Ljava/lang/AssertionError	<init>()V
Ljava/lang/AssertionError	<init>(Ljava/lang/Object;)V
Ljava/lang/Exception	<init>(Ljava/lang/String;)V
Ljava/lang/Throwable	<init>(Ljava/lang/String;)V
Ljava/lang/RuntimeException	<init>(Ljava/lang/String;)V
Ljava/util/InputMismatchException	<init>(Ljava/lang/String;)V
Ljava/util/NoSuchElementException	<init>(Ljava/lang/String;)V
Ljava/lang/String	<init>()V
